8.3761 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
9.2286 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x136f01f98>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x136a899b0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.2287 	EXP 	window1: recordFrameIntervals = False
9.3943 	EXP 	window1: recordFrameIntervals = True
9.5781 	EXP 	window1: recordFrameIntervals = False
10.4657 	EXP 	Created InstructionText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='InstructionText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
10.4697 	EXP 	Created RightImage = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='RightImage', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128, units='height', win=Window(...))
10.6662 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='red', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([ 0. , -0.4]), rgb=array([255.,   0.,   0.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
10.6970 	EXP 	InstructionText: autoDraw = True
13.6922 	EXP 	Imported Images.csv as conditions, 12 conditions, 1 params
13.6929 	EXP 	Created sequence: fullRandom, trialTypes=12, nReps=1, seed=None
13.6932 	EXP 	New trial (rep=0, index=0): OrderedDict([('Image', 'pictures/4.jpg')])
13.8154 	EXP 	InstructionText: autoDraw = False
13.8154 	EXP 	RightImage: image = 'pictures/4.jpg'
13.8154 	EXP 	RightImage: autoDraw = True
13.8154 	EXP 	text: autoDraw = True
16.6865 	EXP 	New trial (rep=0, index=1): OrderedDict([('Image', 'pictures/7.jpg')])
16.7164 	EXP 	RightImage: autoDraw = False
16.7164 	EXP 	text: autoDraw = False
16.7164 	EXP 	RightImage: image = 'pictures/7.jpg'
16.7164 	EXP 	RightImage: autoDraw = True
16.7164 	EXP 	text: autoDraw = True
18.1915 	EXP 	New trial (rep=0, index=2): OrderedDict([('Image', 'pictures/12.jpg')])
18.2008 	DATA 	Keypress: s
18.2178 	EXP 	RightImage: autoDraw = False
18.2178 	EXP 	text: autoDraw = False
18.2178 	EXP 	RightImage: image = 'pictures/12.jpg'
18.2178 	EXP 	RightImage: autoDraw = True
18.2178 	EXP 	text: autoDraw = True
18.6580 	EXP 	New trial (rep=0, index=3): OrderedDict([('Image', 'pictures/8.jpg')])
18.6691 	DATA 	Keypress: s
18.6859 	EXP 	RightImage: autoDraw = False
18.6859 	EXP 	text: autoDraw = False
18.6859 	EXP 	RightImage: image = 'pictures/8.jpg'
18.6859 	EXP 	RightImage: autoDraw = True
18.6859 	EXP 	text: autoDraw = True
19.4246 	EXP 	New trial (rep=0, index=4): OrderedDict([('Image', 'pictures/2.jpg')])
19.4499 	DATA 	Keypress: s
19.4674 	EXP 	RightImage: autoDraw = False
19.4674 	EXP 	text: autoDraw = False
19.4674 	EXP 	RightImage: image = 'pictures/2.jpg'
19.4674 	EXP 	RightImage: autoDraw = True
19.4674 	EXP 	text: autoDraw = True
22.4609 	EXP 	New trial (rep=0, index=5): OrderedDict([('Image', 'pictures/11.jpg')])
22.4857 	EXP 	RightImage: autoDraw = False
22.4857 	EXP 	text: autoDraw = False
22.4857 	EXP 	RightImage: autoDraw = False
22.4857 	EXP 	text: autoDraw = False
22.4857 	EXP 	RightImage: image = 'pictures/11.jpg'
22.4857 	EXP 	RightImage: autoDraw = True
22.4857 	EXP 	text: autoDraw = True
23.7444 	EXP 	New trial (rep=0, index=6): OrderedDict([('Image', 'pictures/5.jpg')])
23.7709 	DATA 	Keypress: k
23.7884 	EXP 	RightImage: autoDraw = False
23.7884 	EXP 	text: autoDraw = False
23.7884 	EXP 	RightImage: image = 'pictures/5.jpg'
23.7884 	EXP 	RightImage: autoDraw = True
23.7884 	EXP 	text: autoDraw = True
24.4592 	EXP 	New trial (rep=0, index=7): OrderedDict([('Image', 'pictures/1.jpg')])
24.4837 	DATA 	Keypress: k
24.5028 	EXP 	RightImage: autoDraw = False
24.5028 	EXP 	text: autoDraw = False
